id,Open,High,Low,Close,Adj Close,Volume,Date
1,735,741.75,730.25,739.599976,724.79303,3238561,2015-08-14
2,744.950012,745,701,703.150024,689.072754,7582133,2015-08-17
3,709,709.400024,680.799988,683.799988,670.110046,5972184,2015-08-18
4,687,703.400024,686.900024,696.099976,682.163818,2593642,2015-08-19
5,697.5,708,688.400024,691.599976,677.753967,2267326,2015-08-20
6,680,700.950012,671.099976,697.400024,683.437866,2011811,2015-08-21
7,675,681.900024,626,635.849976,623.120117,4568527,2015-08-24
8,649,654,605.700012,645.400024,632.478943,4891926,2015-08-25
9,648,649,633.5,637.450012,624.68811,2031606,2015-08-26
10,652,667.799988,640,660.950012,647.717529,3929856,2015-08-27
11,675,679.700012,655,659.849976,646.639648,2111583,2015-08-28
12,659.799988,685,655.099976,682.150024,668.493225,2172057,2015-08-31
13,682,688.400024,657,663.150024,649.873535,2567389,2015-09-01
14,665,669.75,644.099976,648.299988,635.320862,2734383,2015-09-02
15,659,663.75,651.799988,655.650024,642.523682,3366027,2015-09-03
16,676.25,679.799988,646.5,649.549988,636.545776,4428049,2015-09-04
17,656,662,647.25,649.549988,636.545776,1844881,2015-09-07
18,652,654.099976,623.5,650,636.986816,2197872,2015-09-08
19,662.849976,668,650.099976,656.450012,643.307617,1561345,2015-09-09
20,649,657.5,640.700012,653.700012,640.612732,1254979,2015-09-10
21,660,662.75,648.900024,653.150024,640.073853,1179996,2015-09-11
22,654.75,663,650.5,660.700012,647.472656,796196,2015-09-14
23,665.950012,667,653.5,658.299988,645.120605,921666,2015-09-15
24,660.200012,665.700012,657,661.599976,648.354553,1038816,2015-09-16
25,667,669,647.049988,652,638.946777,2152655,2015-09-18
26,648,652,639.599976,649.25,636.25177,1001552,2015-09-21
27,653,653.299988,642.099976,644.150024,631.253906,1673424,2015-09-22
28,638.799988,644,633.5,642.150024,629.294067,1098608,2015-09-23
29,640,650.799988,639,643.099976,630.224976,2130588,2015-09-24
30,648,653.849976,639.049988,641.900024,629.049011,2002727,2015-09-28
31,636.799988,644.799988,628.5,636.5,623.75708,1385234,2015-09-29
32,638,639.950012,631.200012,636.049988,623.31604,3135198,2015-09-30
33,642.900024,649,631.450012,633.549988,620.86615,2945165,2015-10-01
34,639.650024,642,633.650024,640.099976,627.285034,2469393,2015-10-05
35,643.900024,666.450012,641.349976,664,650.706543,2513511,2015-10-06
36,668.900024,683.599976,660.599976,680.799988,667.170227,2160153,2015-10-07
37,688,689.5,672.049988,680.25,666.631226,2304302,2015-10-08
38,684.400024,691.900024,679.25,689.549988,675.744995,1867010,2015-10-09
39,692,692.799988,675,676.349976,662.809204,980356,2015-10-12
40,676.25,681,673.5,679.049988,665.4552,1215291,2015-10-13
41,673,680.200012,660,679.200012,665.602234,1219164,2015-10-14
42,683.75,683.950012,669.400024,670.950012,657.517456,1232379,2015-10-15
43,674.400024,680.5,669,679.450012,665.847229,1925227,2015-10-16
44,679.5,689.700012,677,688.450012,674.667114,2154963,2015-10-19
45,689.650024,689.650024,658.599976,673.599976,660.11438,5642920,2015-10-20
46,673.599976,681.900024,672,678,664.42627,2005358,2015-10-21
47,682.099976,686,679.299988,682.200012,668.542175,1705211,2015-10-23
48,683.400024,684,673.400024,681.25,667.611267,1217235,2015-10-26
49,676,688,672.25,684.700012,670.992065,1610215,2015-10-27
50,682.25,702.25,675.799988,696.049988,682.114807,1537365,2015-10-28
51,699,704.900024,689.5,691.549988,677.704956,2975896,2015-10-29
52,699,703.900024,688.049988,690.450012,676.627014,1885373,2015-10-30
53,688.950012,688.950012,674.400024,680.25,666.631226,766804,2015-11-02
54,686.049988,686.049988,671.099976,675.400024,661.878296,1048233,2015-11-03
55,680,680.950012,668.099976,670.700012,657.272461,1321427,2015-11-04
56,675,675.400024,655.200012,658.049988,644.87561,1833741,2015-11-05
57,655,672.700012,651,658.150024,644.973694,1715887,2015-11-06
58,644.099976,649.700012,638.599976,647.599976,634.634827,1192556,2015-11-09
59,647,648.5,637.5,641.900024,629.049011,1166182,2015-11-10
60,635,635.950012,615.099976,617.900024,605.52948,2193410,2015-11-13
61,617.849976,631.150024,613.150024,625.799988,613.271301,1127051,2015-11-16
62,628.950012,638.900024,628,635.75,623.022095,808720,2015-11-17
63,634.799988,642,627.400024,629.75,617.142212,1026565,2015-11-18
64,635,637.400024,629.849976,635.650024,622.924133,523990,2015-11-19
65,635.900024,648.900024,631.099976,646.849976,633.899841,1070873,2015-11-20
66,647.599976,648,633.5,641.450012,628.607971,878175,2015-11-23
