id,Open,High,Low,Close,Adj Close,Volume,Date
1,20048,20679.800781,19955.099609,20600.599609,19876.697266,55123,2015-08-14
2,20630,20750,20348,20664.800781,19938.644531,40248,2015-08-17
3,20850.400391,21040,20671,20944.599609,20208.609375,48890,2015-08-18
4,20985,21360,20750.199219,21235.5,20489.287109,52139,2015-08-19
5,21248,21596,20916.400391,21017.599609,20279.044922,68608,2015-08-20
6,20898,20898,20300,20464.800781,19745.671875,74515,2015-08-21
7,19964.800781,19965,17821,18585.5,17932.410156,128917,2015-08-24
8,18851.099609,19195.900391,17900,18698.900391,18041.822266,138587,2015-08-25
9,18689.900391,19194.900391,18499.900391,18567,17914.560547,75480,2015-08-26
10,18950,19499.800781,18723.199219,18771.599609,18111.96875,68978,2015-08-27
11,19000,19145.800781,18533.099609,18919.199219,18254.382813,75797,2015-08-28
12,18944,19189.699219,18772.099609,19014.800781,18346.623047,150093,2015-08-31
13,18890,19088,18034.199219,18259.300781,17617.673828,101060,2015-09-01
14,18435,18720,18230,18377.199219,17731.427734,94084,2015-09-02
15,18577,18643,18303.199219,18382.699219,17736.736328,47586,2015-09-03
16,18382.699219,18383.099609,17760,18177.699219,17538.939453,61514,2015-09-04
17,18215,18300,17290.400391,17442.900391,16829.958984,73618,2015-09-07
18,17477.800781,17477.800781,16711.099609,17234.199219,16628.59375,124808,2015-09-08
19,17500,18027.300781,17322.300781,17967.300781,17335.933594,104827,2015-09-09
20,17750,18694.400391,17450.099609,18496.900391,17846.921875,97738,2015-09-10
21,18590,19024,18590,18882.099609,18218.585938,90604,2015-09-11
22,18975,19080,18511.199219,18836.5,18174.589844,49572,2015-09-14
23,18829.699219,18964.900391,18420,18576.300781,17923.533203,86046,2015-09-15
24,18650,18750,17628.800781,17937,17306.697266,114798,2015-09-16
25,18149.699219,18475,18110,18234.400391,17593.648438,56693,2015-09-18
26,18150,18560,18052.199219,18478.199219,17828.876953,33124,2015-09-21
27,18579,18746.900391,18228.199219,18334.900391,17690.617188,38467,2015-09-22
28,18100,18599,18100,18254.400391,17612.943359,37681,2015-09-23
29,18299.900391,18332.800781,17703.300781,17776.199219,17151.546875,99007,2015-09-24
30,17914.800781,17930,17200,17282.599609,16675.292969,52408,2015-09-28
31,17100,17788.699219,16842,17440.699219,16827.837891,83540,2015-09-29
32,17580.199219,17844,17183.900391,17791.599609,17166.40625,92168,2015-09-30
33,18001,18333,17619.800781,18286.300781,17643.726563,110420,2015-10-01
34,18440,18800,18400,18772.800781,18113.128906,70263,2015-10-05
35,18924.699219,18935,18575,18630.199219,17975.535156,46623,2015-10-06
36,18550,18988,18542.599609,18905.199219,18240.873047,57436,2015-10-07
37,19000,19005.199219,18607.800781,18666.300781,18010.369141,36652,2015-10-08
38,18750,18863.199219,18252.599609,18318.199219,17674.501953,63401,2015-10-09
39,18341.099609,18518.199219,17931,17982.400391,17350.5,47820,2015-10-12
40,17994.800781,18182,17652.199219,17820.300781,17194.097656,67201,2015-10-13
41,17800,18289,17800,18180.199219,17541.351563,30751,2015-10-14
42,18235,18478,18226.199219,18311.199219,17667.748047,36903,2015-10-15
43,18349,18443.900391,18190,18286.599609,17644.009766,36707,2015-10-16
44,18329.599609,18343.900391,18104.099609,18241.300781,17600.306641,41110,2015-10-19
45,18264.900391,18350,18050,18161.199219,17523.017578,47338,2015-10-20
46,18190,18430,18017,18210.599609,17570.681641,60959,2015-10-21
47,18305,18359.900391,18120,18158.699219,17520.603516,57269,2015-10-23
48,18188.300781,18240,17837.800781,17934.900391,17304.669922,36566,2015-10-26
49,17903.199219,17905,17535,17659.800781,17039.240234,69219,2015-10-27
50,17549.800781,17734.900391,17288.300781,17392.300781,16781.138672,96109,2015-10-28
51,17444.199219,17530.099609,17273.800781,17418.699219,16806.607422,61285,2015-10-29
52,17518.699219,17862,17431.199219,17742.400391,17118.933594,45620,2015-10-30
53,18011.900391,18094.400391,17825,17975.400391,17343.746094,52439,2015-11-02
54,18004,18095,17975,18010.800781,17377.904297,33098,2015-11-03
55,18060,18186.699219,17727.199219,17768.199219,17143.826172,35064,2015-11-04
56,17840,17967,17600,17678,17056.800781,18573,2015-11-05
57,17700,17995,16428,16693.300781,16106.700195,156934,2015-11-06
58,16400,16445.900391,15818.799805,15952.5,15391.932617,137594,2015-11-09
59,16049,16111.799805,15611,15841.599609,15284.928711,75183,2015-11-10
60,15900,15925.5,15520.299805,15624.200195,15075.169922,49662,2015-11-13
61,15599,15689.799805,15020,15262.200195,14725.889648,87500,2015-11-16
62,15452,15540,15291,15493.900391,14949.448242,37979,2015-11-17
63,15570,15983.599609,15475,15883.799805,15325.646484,69871,2015-11-18
64,15995,16190,15918,16166.700195,15598.604492,65768,2015-11-19
65,16200,16460,16099.200195,16416.900391,15840.013672,44525,2015-11-20
66,16500,16795.5,16174,16756.300781,16167.486328,47488,2015-11-23
67,16798.900391,16799,16602,16650.199219,16065.115234,36972,2015-11-24
