id,Open,High,Low,Close,Adj Close,Volume,Date
1,470.125,486,467.149994,483.475006,462.981476,5824010,2015-08-14
2,483,483,473.024994,475.350006,455.200806,4963652,2015-08-17
3,478,478,471.100006,472.049988,452.04071,3031166,2015-08-18
4,472,480.5,469.725006,477.299988,457.068115,4058402,2015-08-19
5,479.975006,479.975006,456.875,458.149994,438.729919,8689858,2015-08-20
6,455,455.950012,448.5,453.975006,434.731903,9166424,2015-08-21
7,440,440,409,414.774994,397.193512,16291446,2015-08-24
8,420.424988,430.325012,411.600006,424.075012,406.099335,22631686,2015-08-25
9,423.899994,437.399994,420,426.700012,408.613007,8665824,2015-08-26
10,433.399994,440.625,428.524994,434.575012,416.154236,12342370,2015-08-27
11,437.5,441.5,433.049988,436.200012,417.710358,4923780,2015-08-28
12,436.424988,436.424988,426.899994,427.950012,409.810028,9467432,2015-08-31
13,426.950012,426.950012,417.549988,419.924988,402.125183,9895684,2015-09-01
14,425,428.549988,421.299988,424.774994,406.769623,8984402,2015-09-02
15,427.024994,430.375,422.200012,426.924988,408.828461,5330550,2015-09-03
16,424.850006,424.850006,412.549988,417.950012,400.233917,7406072,2015-09-04
17,419.125,422,413.850006,416.600006,398.941132,4678930,2015-09-07
18,418,426.475006,412.549988,424.299988,406.314758,5897660,2015-09-08
19,430.5,439.350006,425.25,437.024994,418.500336,7927582,2015-09-09
20,430.5,435.25,427.75,433.5,415.124756,5062846,2015-09-10
21,436,438.049988,428.100006,430.475006,412.227997,4861888,2015-09-11
22,430.875,432.850006,425.950012,431.924988,413.616516,3640906,2015-09-14
23,431,435,427.799988,433.5,415.124756,5261888,2015-09-15
24,436.049988,438.674988,432.600006,436.274994,417.782135,6137372,2015-09-16
25,439.225006,449.75,438.575012,447.700012,428.72287,15663184,2015-09-18
26,440,444.100006,438.024994,439.049988,420.439514,5820728,2015-09-21
27,440,442.450012,422.25,423.950012,405.979584,7198324,2015-09-22
28,421.5,428.399994,420,425.174988,407.152649,6958648,2015-09-23
29,424,424,417.375,418.674988,400.928162,13293018,2015-09-24
30,419.899994,420.450012,414.350006,417.125,399.443878,5314394,2015-09-28
